TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Cluster
219.02,Credit,San Diego,Online,54,Engineer,68,1,7375.73,0
11.67,Debit,Fort Worth,Branch,76,Retired,105,1,7458.63,0
592.82,Debit,Memphis,Online,74,Retired,248,1,7508.98,0
224.73,Debit,Miami,Branch,76,Retired,63,1,7551.89,0
144.93,Debit,Fresno,Branch,42,Engineer,74,1,6887.52,0
316.56,Debit,Denver,Online,28,Engineer,261,1,8643.51,0
421.25,Debit,Fort Worth,Online,25,Student,66,1,7174.69,0
487.32,Debit,Kansas City,Branch,52,Doctor,164,1,7707.96,0
26.27,Credit,Portland,Online,45,Engineer,177,1,8853.93,0
389.7,Credit,Austin,Branch,62,Doctor,216,1,7125.15,0
881.1,Debit,Phoenix,Branch,28,Student,16,1,9951.68,0
139.69,Debit,Indianapolis,Online,52,Engineer,180,1,9567.94,0
52.04,Credit,Colorado Springs,Branch,50,Doctor,31,1,8436.12,0
112.72,Debit,Washington,Branch,31,Doctor,17,1,9630.0,0
484.3,Credit,Boston,Online,61,Retired,230,3,7910.3,0
388.21,Credit,Columbus,Branch,53,Doctor,237,1,9724.49,0
958.9,Debit,Memphis,Branch,31,Engineer,135,1,9977.49,0
501.15,Debit,Phoenix,Branch,47,Engineer,208,1,8821.84,0
149.02,Credit,Fort Worth,Branch,46,Engineer,176,1,9379.72,0
292.08,Debit,Columbus,ATM,72,Retired,32,1,7950.48,0
63.98,Debit,Baltimore,Online,54,Doctor,258,1,7954.12,0
18.41,Debit,Atlanta,Branch,53,Doctor,168,1,8287.54,0
903.19,Debit,El Paso,Online,22,Student,65,1,8627.08,0
48.29,Debit,San Diego,Online,37,Engineer,242,1,8883.4,0
302.82,Debit,Jacksonville,ATM,36,Engineer,175,1,9384.54,0
175.07,Debit,Las Vegas,Online,28,Engineer,169,2,9274.64,0
862.34,Debit,Kansas City,Branch,57,Doctor,72,1,9903.48,0
11.19,Debit,Austin,ATM,60,Engineer,40,1,9877.17,0
102.34,Debit,San Antonio,Online,51,Doctor,78,1,9326.28,0
38.37,Debit,San Antonio,ATM,63,Doctor,135,1,8647.04,0
124.22,Debit,Charlotte,ATM,23,Student,172,1,9695.04,0
65.26,Debit,Sacramento,Branch,26,Student,72,1,7380.63,0
256.05,Debit,Nashville,ATM,54,Retired,35,1,6910.18,0
129.48,Debit,Seattle,ATM,31,Engineer,179,1,7581.7,0
21.57,Debit,San Francisco,ATM,54,Retired,71,1,7587.48,0
23.38,Debit,Memphis,Branch,32,Engineer,89,1,9968.49,0
451.35,Credit,Baltimore,Branch,47,Engineer,223,1,7707.96,0
50.75,Debit,Boston,ATM,62,Doctor,185,1,8271.47,0
1192.2,Credit,Jacksonville,Branch,60,Retired,103,5,7816.41,0
51.15,Credit,Los Angeles,Branch,46,Engineer,199,1,8992.25,0
22.54,Debit,El Paso,Online,26,Engineer,42,1,7139.11,0
391.08,Debit,Fresno,Online,56,Retired,105,1,6885.16,0
81.08,Debit,Omaha,ATM,58,Engineer,56,1,7788.91,0
313.69,Debit,Oklahoma City,Branch,73,Retired,152,1,7093.68,0
411.72,Debit,Washington,Branch,29,Doctor,153,1,8539.86,0
508.73,Debit,Chicago,Branch,59,Retired,89,1,7640.57,0
70.03,Debit,Nashville,Branch,63,Retired,49,1,7330.31,0
157.7,Credit,Omaha,Branch,58,Engineer,46,1,8332.58,0
16.73,Debit,Omaha,Online,79,Retired,165,1,7591.13,0
613.7,Credit,Fort Worth,Branch,61,Retired,37,1,7307.11,0
39.21,Debit,Miami,ATM,66,Doctor,245,4,9385.57,0
927.16,Debit,San Francisco,ATM,59,Retired,153,1,7104.61,0
64.3,Debit,Louisville,ATM,55,Retired,67,1,7530.3,0
186.6,Debit,Tucson,Branch,18,Student,139,1,9716.68,0
226.66,Debit,Austin,Branch,41,Doctor,168,1,10216.25,0
233.1,Credit,Nashville,Branch,42,Doctor,37,1,7469.2,0
224.19,Debit,Houston,ATM,52,Doctor,93,1,8475.47,0
3.65,Debit,Miami,Online,69,Doctor,146,1,10017.11,0
163.46,Credit,Baltimore,Branch,63,Retired,111,1,6953.8,0
736.53,Debit,Philadelphia,ATM,55,Engineer,120,1,9826.26,0
147.46,Credit,Albuquerque,Online,65,Doctor,205,1,7458.03,0
59.51,Credit,Dallas,Online,36,Doctor,55,1,9955.88,0
135.35,Debit,Houston,Branch,33,Engineer,82,1,9983.36,0
417.26,Credit,New York,Online,32,Doctor,45,1,10442.48,0
209.03,Debit,Detroit,Branch,55,Engineer,126,1,8359.5,0
108.96,Debit,Milwaukee,ATM,26,Student,247,1,7597.66,0
408.19,Debit,Mesa,Branch,26,Engineer,241,1,6847.47,0
60.99,Debit,Oklahoma City,Branch,34,Engineer,58,1,7281.46,0
20.05,Debit,Chicago,ATM,72,Retired,171,1,7145.67,0
176.11,Debit,San Jose,Branch,38,Engineer,105,1,9155.35,0
181.81,Credit,Austin,Online,78,Retired,122,1,7525.73,0
314.52,Debit,Memphis,ATM,80,Retired,229,1,7071.32,0
456.93,Credit,Virginia Beach,Branch,28,Engineer,193,1,7284.76,0
1143.67,Debit,Atlanta,Online,66,Retired,111,1,7677.76,0
300.61,Debit,El Paso,Online,44,Doctor,51,1,7895.54,0
111.21,Debit,Portland,Branch,35,Doctor,111,1,9088.36,0
260.63,Debit,Fort Worth,Branch,37,Engineer,142,1,7534.73,0
469.46,Debit,New York,ATM,20,Student,149,1,8640.56,0
38.14,Debit,Portland,Branch,50,Engineer,165,1,9879.87,0
65.11,Debit,Nashville,ATM,34,Engineer,150,1,8485.14,0
80.24,Credit,New York,Branch,53,Doctor,58,1,8012.81,0
239.41,Credit,Baltimore,Online,42,Doctor,248,1,7860.65,0
178.91,Debit,Omaha,ATM,18,Student,19,1,8870.89,0
161.63,Debit,San Jose,Online,46,Doctor,276,1,9286.37,0
100.38,Debit,Seattle,Branch,63,Doctor,49,1,10171.68,0
280.99,Debit,Houston,Branch,45,Engineer,29,1,9733.59,0
146.51,Debit,Albuquerque,ATM,53,Engineer,68,1,7089.9,0
89.5,Credit,Louisville,Branch,41,Engineer,134,1,8658.95,0
383.69,Debit,Colorado Springs,Online,54,Engineer,285,1,8371.11,0
268.39,Debit,San Antonio,Online,29,Doctor,177,1,9409.43,0
98.71,Debit,Fort Worth,ATM,32,Doctor,117,1,10095.23,0
440.94,Debit,San Antonio,Online,42,Doctor,148,1,7303.23,0
494.96,Debit,Sacramento,ATM,40,Engineer,132,1,6903.68,0
109.48,Debit,Baltimore,Online,61,Retired,93,1,7372.47,0
218.37,Debit,Houston,ATM,62,Doctor,105,1,9942.24,0
590.01,Debit,San Jose,Online,29,Doctor,140,3,9791.74,0
697.82,Debit,New York,Online,44,Engineer,153,1,6824.0,0
302.76,Debit,Sacramento,ATM,38,Engineer,88,3,8583.39,0
757.1,Debit,Atlanta,Branch,65,Doctor,203,1,10553.23,0
76.51,Credit,Mesa,Online,49,Engineer,120,4,9475.4,0
32.46,Debit,Charlotte,Online,31,Doctor,10,1,8656.18,0
288.77,Debit,Los Angeles,ATM,55,Engineer,110,1,8836.51,0
132.33,Credit,Phoenix,ATM,35,Engineer,47,1,7457.94,0
25.38,Debit,Louisville,Branch,57,Engineer,66,1,8616.05,0
447.95,Debit,Tucson,Branch,29,Engineer,75,1,7544.4,0
11.04,Debit,Phoenix,Online,30,Engineer,43,1,6983.04,0
275.46,Debit,Fort Worth,ATM,36,Doctor,67,1,9697.75,0
185.81,Debit,Austin,Online,32,Doctor,116,1,9588.71,0
32.34,Debit,Kansas City,Branch,44,Doctor,45,1,7847.62,0
401.37,Debit,Los Angeles,Branch,43,Engineer,251,1,8208.54,0
301.56,Debit,Seattle,Branch,49,Doctor,118,1,10389.6,0
148.85,Debit,Mesa,ATM,57,Doctor,25,1,7802.36,0
280.61,Debit,Mesa,ATM,47,Engineer,129,3,7888.76,0
446.39,Debit,Houston,ATM,63,Retired,77,1,7863.6,0
180.24,Debit,Phoenix,Branch,58,Engineer,144,1,8431.23,0
337.73,Debit,San Antonio,Online,78,Retired,107,4,7001.2,0
29.22,Debit,Detroit,ATM,27,Engineer,69,1,7795.79,0
112.27,Debit,Seattle,Branch,58,Doctor,102,1,7369.89,0
154.32,Credit,Tucson,ATM,38,Engineer,269,1,6972.5,0
103.76,Debit,Kansas City,Online,28,Engineer,188,1,9626.14,0
114.23,Debit,Dallas,ATM,56,Doctor,64,1,9523.72,0
384.41,Debit,Jacksonville,ATM,60,Engineer,65,1,7831.56,0
52.94,Debit,Tucson,Branch,41,Doctor,146,1,6990.92,0
1108.46,Debit,Los Angeles,Branch,30,Engineer,262,1,9257.04,0
153.07,Debit,Detroit,ATM,56,Engineer,116,1,8873.43,0
220.8,Debit,Indianapolis,Online,31,Engineer,28,1,8135.31,0
172.29,Debit,El Paso,ATM,36,Engineer,283,1,8700.8,0
119.01,Debit,Philadelphia,ATM,45,Doctor,87,1,9798.26,0
272.97,Debit,Boston,Online,68,Retired,174,1,7811.31,0
103.08,Credit,Milwaukee,Branch,49,Engineer,150,1,9251.38,0
1.21,Debit,Atlanta,Branch,55,Retired,196,1,7542.74,0
425.18,Credit,Colorado Springs,Online,26,Engineer,172,1,9880.71,0
79.76,Debit,Kansas City,Online,68,Doctor,115,1,10278.75,0
645.04,Debit,Memphis,Branch,70,Retired,78,1,7361.47,0
491.1,Credit,Houston,Online,35,Engineer,125,1,7833.85,0
365.48,Credit,Seattle,Online,76,Retired,216,1,7147.4,0
354.76,Debit,Detroit,Branch,51,Doctor,279,1,10141.92,0
858.88,Debit,Jacksonville,Online,60,Engineer,227,1,7015.46,0
308.62,Credit,Sacramento,Branch,59,Engineer,101,1,9148.08,0
438.59,Debit,San Jose,Online,37,Engineer,103,1,8994.39,0
1173.74,Credit,Virginia Beach,Online,61,Doctor,61,1,10456.24,0
313.82,Debit,Tucson,Branch,59,Engineer,151,1,7261.59,0
56.52,Debit,Omaha,ATM,42,Engineer,152,1,6911.2,0
1413.24,Debit,New York,ATM,58,Engineer,199,1,7272.01,0
490.82,Debit,Kansas City,ATM,26,Engineer,114,1,8704.27,0
0.32,Debit,Boston,ATM,39,Engineer,136,1,7158.58,0
138.54,Credit,Austin,Branch,60,Engineer,93,1,8274.77,0
21.21,Debit,Nashville,Online,55,Engineer,37,1,9575.42,0
403.01,Debit,Washington,Online,63,Doctor,286,3,10513.52,0
34.74,Debit,San Francisco,ATM,56,Retired,24,1,6827.57,0
568.07,Debit,Washington,ATM,48,Doctor,115,1,10556.81,0
211.36,Credit,Fort Worth,Branch,51,Engineer,286,1,7943.47,0
716.62,Debit,Atlanta,ATM,44,Doctor,241,1,6987.4,0
208.04,Debit,Louisville,Online,47,Engineer,273,1,9344.98,0
58.77,Debit,Memphis,Online,27,Engineer,191,1,7261.7,0
757.41,Debit,Los Angeles,ATM,22,Student,37,1,9532.42,0
61.62,Debit,Miami,Online,57,Doctor,19,1,8365.37,0
592.24,Debit,Tucson,ATM,52,Doctor,140,1,9817.05,0
140.98,Debit,Memphis,Branch,60,Engineer,100,1,8127.48,0
24.56,Debit,Mesa,Branch,64,Doctor,69,1,9869.93,0
